CN	EN
<Assistant_Title1>【记忆的传承】</>\n<Assistant_Title2>玩法类型：</><Assistant_Property1>5~6人家族副本</>\n<Assistant_Title2>玩法介绍：</>开启“记忆的传承”仪式后，玩家将进入记忆世界，与过去经历过的强敌再次交锋。与家族成员共同进入时，可获得【誓火共燃】与【血脉盟约】增益。\n<Assistant_Title2>参与方式：</>点击<Assistant_System>菜单-世界冒险-副本-记忆的传承</>参与。\n<Assistant_Title2>首领与参与条件：</>\n    <Assistant_Property1>强尼：</>普通难度39级，推荐非凡评分8779；困难难度61级，推荐非凡评分39842。\n    <Assistant_Property1>钻头：</>普通难度46级，推荐非凡评分17855；困难难度63级，推荐非凡评分49578。\n    <Assistant_Property1>邦尼：</>普通难度56级，推荐非凡评分28959；困难难度66级，推荐非凡评分58189。\n    <Assistant_Property1>战争巨龙：</>普通难度60级，推荐非凡评分38619；困难难度68级，推荐非凡评分69025；噩梦难度70级，推荐非凡评分94338。\n<Assistant_Title2>开放顺序：</>普通钻头于赛季第2天开放，普通邦尼第4天开放，普通战争巨龙第5天开放；困难强尼第6天开放，困难钻头第8天开放，困难邦尼第12天开放，困难战争巨龙第14天开放；噩梦难度战争巨龙第26天开放。\n<Assistant_Title2>挑战说明：</>各首领均支持5~6人组队，并可选择人机模式。不同首领和难度独立开放，请根据角色等级与推荐非凡评分选择挑战目标。	<Assistant_Title1>【Inheritance of Memory】</>\n<Assistant_Title2>Gameplay Type: </><Assistant_Property1>5~6 player Family Dungeon</>\n<Assistant_Title2>Gameplay Introduction: </>After starting the "Inheritance of Memory" ritual, players will enter the world of memory to face powerful enemies from the past once again. Entering with family members grants the [Burning Vow of Fire] and [Bloodline Covenant] buffs.\n<Assistant_Title2>How to Participate: </>Click <Assistant_System>Menu - World Adventure - Dungeon - Inheritance of Memory</> to participate.\n<Assistant_Title2>Bosses and Participation Requirements: </>\n    <Assistant_Property1>Johnny: </>Normal difficulty level 39, recommended Beyonder rating 8779; Hard difficulty level 61, recommended Beyonder rating 39842.\n    <Assistant_Property1>Drill: </>Normal difficulty level 46, recommended Beyonder rating 17855; Hard difficulty level 63, recommended Beyonder rating 49578.\n    <Assistant_Property1>Bonnie: </>Normal difficulty level 56, recommended Beyonder rating 28959; Hard difficulty level 66, recommended Beyonder rating 58189.\n    <Assistant_Property1>War Dragon: </>Normal difficulty level 60, recommended Beyonder rating 38619; Hard difficulty level 68, recommended Beyonder rating 69025; Nightmare difficulty level 70, recommended Beyonder rating 94338.\n<Assistant_Title2>Opening Order: </>Normal Drill opens on day 2 of the season, Normal Bonnie on day 4, Normal War Dragon on day 5; Hard Johnny opens on day 6, Hard Drill on day 8, Hard Bonnie on day 12, Hard War Dragon on day 14; Nightmare War Dragon opens on day 26.\n<Assistant_Title2>Challenge Instructions: </>All bosses support 5~6 player teams and offer an AI mode. Different bosses and difficulties open independently; please choose your challenge target based on your character level and recommended Beyonder rating.
使用后可获得<Highlight>活力方糖</>2个以及<Highlight>300金镑代金券</>1个。	Using this grants 2 <Highlight>Vitality Sugar Cubes</> and 1 <Highlight>300 Pound Voucher</>.
战斗催眠	Combat Hypnosis
总库存0/0	Total inventory 0/0
我有点磕你们了	I'm starting to ship you two.
歌颂只能自食其力<img id="#022" width="28" height="28" valign="0.5"/>	Singing can only rely on oneself <img id="#022" width="28" height="28" valign="0.5"/>
点击入座	Click to take a seat
上传自定义表情的充值额度限制(元)，0=不限制	Recharge amount limit (in yuan) for uploading custom emojis, 0 = no limit
厉害	Impressive.
唉美女走了	Sigh, the beauty is gone.
宝宝我最近感冒了，声音有点像男的，我真的是女生	Baby, I have a cold recently, my voice sounds a bit like a man's, I really am a girl.
技能减免 89%	Skill Reduction 89%
没用的低伤害先知	Useless low-damage prophet.
获得了<Highlight>数量</>物品名称	Obtained <Highlight>Quantity</> Item Name
个人热度	Personal Popularity
本届优秀棋子大赏	This Season's Outstanding Pieces Showcase
内容已删除	Content deleted
发报机	Telegraph
回顾胜者宣言大会	Review Victor's Declaration Assembly
星坠四野	Stars Falling Across the Wilds
极限文字数量七	Limit text count seven
这是什么……好大的耳朵？身上也……	What is this... such large ears? And on the body too...
六月之书	Book of June
是这个方向。	It's in this direction.
请拖动调整家族人员排序	Please drag to adjust the order of Family members.
上回合总收入	Total income from the previous round
夜香舞会	Night Fragrance Ball
好运之王	King of Good Luck
小麦粥配野莓	Wheat Porridge with Wild Berries
猎龙训龙挑教龙	Dragon Hunting, training dragons, picking dragons, teaching dragons.
评分：98721	Rating: 98721
%s无人参与竞拍，已由系统概率回收（队伍中有1-2名无公共奖励次数的玩家）	%s No one participated in the auction, so it has been reclaimed by the system via probability (there are 1-2 players in the team without public reward attempts).
再战宝箱·先祖铠甲	Rematch Chest: Ancestor Armor
喔，是贝拉姐姐！她在和谁讲话呢?	Oh, it's Sister Bella! Who is she talking to?
序列无比风暴更烈	The Sequence is more violent than the storm.
快捷键描述	Shortcut key description
我弄爆发的没办法呀	I'm doing burst, can't help it.
收集奖励	Collection Rewards
无表情	Expressionless
最后看输出的	Depends on the output in the end.
桌上有两颗真弹，一颗假弹。不难选，对吧？	There are two real bullets and one fake bullet on the table. Not hard to choose, right?
老鼠洗完头 	Mouse finished washing its hair.
金榜购买	Gold List Purchase
35品	Grade 35
当前好感度: <Favorite1>600</>	Current Favorability: <Favorite1>600</>
我现在就开始！	I’ll start right now!
吼吼吼吼吼！	Roar roar roar roar roar!
怎么骗子又换话术了	How did the scammer change their script again?
挺根异常案件挺根	Tinggen Abnormal Case Tinggen
一二三四五六一二三四五六	One Two Three Four Five Six One Two Three Four Five Six
若持有防御力增加效果将获得防罩效果，若持有防御力增加效果将获得防护罩效果，吸收相当于体力上<Highlight>20.0%</>的伤害持续<Highlight>15</>秒。若持有防御力增加效果将获得防罩效果，若持有防御力增加效果将获得防护罩效果，吸收相当于体力上<Highlight>20.0%</>的伤害持续<Highlight>15</>秒。	If you possess a Defense increase effect, you will gain a Protective Shield effect. If you possess a Defense increase effect, you will gain a Protective Shield effect, absorbing damage equivalent to <Highlight>20.0%</> of your Stamina for <Highlight>15</> seconds. If you possess a Defense increase effect, you will gain a Protective Shield effect, if you possess a Defense increase effect, you will gain a Protective Shield effect, absorbing damage equivalent to <Highlight>20.0%</> of your Stamina for <Highlight>15</> seconds.
"战士技能的背景故事，战士技能的背景故事战士技能的背景故事。“	"Background story of the Warrior Skill, background story of the Warrior Skill, background story of the Warrior Skill."
先去买船票吧。	Go buy the boat ticket first.
反馈人(邮箱前缀)(必填)：	Feedback Provider (Email Prefix) (Required):
我有点不知道该怎么办了……	I’m not sure what to do anymore…
按照赌约，奖励是你的了，希望我们下次见面，你还是这么好运。	According to the bet, the reward is yours. I hope that when we meet next time, you'll still be this lucky.
有没有好心人帮帮我，变疯狂后让我安魂	Is there any kind soul who can help me? Please use Healing on me after I go mad.
魔女教派棋子除获得基魔女教派棋子除获得基础魔女教派棋子除获得基础<HighLight>击时叠加</>.	In addition to Demoness Sect pieces gaining base Demoness Sect pieces gaining base Demoness Sect pieces gaining base <HighLight>stacking on attack</>.
哈哈哈哈哈哈哈哈哈，培根这是听懂了吗？都开始抢着吃东西了	Hahahahahaha! Did Bacon understand that? He's even started fighting for the food.
有没有人来撬我啊	Is there anyone coming to pry me?
棋子名称	Piece Name
歌声在前方——	The singing is ahead—
队伍召集	Team Recruitment
力拔山兮	Force That Can Uproot Mountains
暂未加入任何小队	Not joined any team yet
窥秘人有说法吗	Is there any theory for Mystery Pryer?
背叛与陌路	Betrayal and Strangers
<P_Heart>（小棉袄！女儿绝对是老父亲的小棉袄！）</>	<P_Heart>(Daddy's little girl! A daughter is definitely a father's little angel!)</>
<Title>巨龙现身</>\n巨龙·投影于每周五、周日晚的猎杀时刻开启<Highlight>10分钟后</>，即<Highlight>19:10</>，现身<Highlight>猎龙城王城中心</>。若20:00前未被击退，巨龙将离开，且不触发击杀结算。\n\n<Title>归属伤害</>\n仅在巨龙周围<Highlight>40米</>内存活并对其造成伤害时，伤害才会计入玩家当前所在团队。巨龙被击退时，<Highlight>当前有效归属伤害最高的团队</>获得最终归属及拍卖奖励。靠近巨龙后，可实时查看当前归属伤害。\n\n<Title>伤害衰减</>\n玩家死亡、离开巨龙讨伐范围、切换分线或离开团队后，该玩家已为团队累计的归属伤害将开始衰减，并同步影响团队当前的有效归属伤害。\n\n触发衰减后的<Highlight>前5秒</>，归属伤害保持不变；从第6秒开始，<Highlight>每6秒减少原累计归属伤害的5%</>，持续120秒后归零。\n\n重新进入<Highlight>巨龙讨伐范围</>并恢复参战后，衰减停止。当前剩余的归属伤害将被保留，并在此基础上继续累计新造成的伤害。\n\n<Title>拍卖奖励</>\n击退巨龙后，将根据激战值开启对应档位的拍卖。<Highlight>激战值越高，可开启的拍卖奖励档位越高</>。\n\n<Title>资格限制</>\n每次猎杀时刻活动中，每名玩家至多获得<Highlight>1次</>巨龙·投影的终末猎杀拍卖资格；已取得资格的玩家，本次活动内无法再次取得。	<Title>Dragon Appearance</>\nThe Dragon - Projection appears at the <Highlight>center of the Dragon Hunting City Royal City</> <Highlight>10 minutes after</> the start of the Hunting Time on Friday and Sunday nights, which is <Highlight>19:10</>. If it is not repelled before 20:00, the dragon will leave, and no kill settlement will be triggered. \n\n<Title>Ownership Damage</>\nDamage is only counted toward the player's current team if they are alive and dealing damage within <Highlight>40 meters</> of the dragon. When the dragon is repelled, the <Highlight>team with the highest current effective ownership damage</> receives the final ownership and auction rewards. You can view the current ownership damage in real-time after approaching the dragon. \n\n<Title>Damage Decay</>\nAfter a player dies, leaves the dragon crusade range, switches channels, or leaves the team, the ownership damage that player has accumulated for the team will begin to decay, which will simultaneously affect the team's current effective ownership damage. \n\nFor the <Highlight>first 5 seconds</> after decay is triggered, the ownership damage remains unchanged. Starting from the 6th second, it <Highlight>decreases by 5% of the original accumulated ownership damage every 6 seconds</>, reaching zero after 120 seconds. \n\nIf you re-enter the <Highlight>Dragon Crusade Range</> and resume combat, the decay will stop. The remaining ownership damage will be preserved, and new damage dealt will continue to accumulate on top of this base. \n\n<Title>Auction Rewards</>\nAfter repelling the dragon, auctions for corresponding tiers will be opened based on the Intense Battle Value. <Highlight>The higher the Intense Battle Value, the higher the tier of auction rewards that can be unlocked</>. \n\n<Title>Qualification Restrictions</>\nIn each Hunting Time event, each player can obtain at most <Highlight>1</> qualification for the Dragon - Projection final hunt auction; players who have already obtained the qualification cannot obtain it again during the same event.
